date,M1,M2,M3
2010-12-31,549478.1637539852,643503.7169476202,891865.6708894839
2011-01-31,543223.8292192351,637935.8429047363,887900.0836846924
2011-02-28,545957.742089471,641131.8154981417,890679.5998105373
2011-03-31,549001.130274466,644847.3531206946,895757.8512827202
2011-04-30,547754.58916011,644504.6014765645,890288.8225780248
2011-05-31,546442.9625548599,643629.0817717302,900185.436782289
2011-06-30,560237.4775440069,658157.9129549707,907675.3588330911
2011-07-31,563038.13258023,661790.6956278911,911870.189799272
2011-08-31,563644.6565953069,663601.0855981271,914890.1222693656
2011-09-30,565197.65611676,665941.5710853861,914199.782247383
2011-10-31,562467.0589580601,663554.6580963187,915827.667273642
2011-11-30,567551.5596727501,669757.3240476556,926956.1967535942
2011-12-31,586777.1414071259,689691.5295353369,949287.0674905502
2012-01-31,578088.2033348901,681726.5895600045,937919.810309716
2012-02-29,575247.81407677,679803.8173299204,939656.1171698174
2012-03-31,582044.22680827,687545.5142904656,943345.576567542
2012-04-30,573576.95761532,679750.991390368,936009.0930969983
2012-05-31,573171.9613675,679502.248526182,934463.1097484624
2012-06-30,589821.2051550001,696400.937427855,957908.8846585631
2012-07-31,596727.78127792,704008.2308732267,954966.264515263
2012-08-31,593123.01759465,701192.7121649912,951489.698801135
2012-09-30,596491.06568247,705216.9798270976,955242.0742867715
2012-10-31,587968.82533858,697870.0104505233,948411.8842157333
2012-11-30,594621.10846328,705248.72362973,962472.2707884528
2012-12-31,612162.5001859999,723519.3463899378,992175.9625785244
2013-01-31,595232.8943579299,707560.8637081375,962789.2612172686
2013-02-28,596198.24006937,709296.8299032573,971814.6788138316
2013-03-31,595317.28663277,709542.4241423873,967966.0927109562
2013-04-30,595311.4053661501,710148.345121171,971395.2565540394
2013-05-31,600539.61103416,716030.1078319872,980466.2771766919
2013-06-30,621755.54545402,737639.0789762463,1004811.6702092716
2013-07-31,618738.6966561747,735687.7074694992,1010183.3078156342
2013-08-31,625453.7639587901,743270.0734281573,1012717.4654407506
2013-09-30,619502.1206662201,737832.446634609,1005953.1895202602
2013-10-31,617896.89599291,737720.7954164128,1005861.363099105
2013-11-30,618300.05100761,738523.3789845982,1000031.2216816385
2013-12-31,628940.9973426199,749262.6852035427,1022815.9734021632
2014-01-31,618392.98844063,740107.1126091352,994399.8789498381
2014-02-28,619193.30202167,741809.3460118289,997914.4124774296
2014-03-31,624182.82058333,747655.4070867038,1001816.7354815113
2014-04-30,631878.5095088701,756027.9047172164,1011410.4649434944
2014-05-31,626022.87916309,750397.997588488,1025788.9778068159
2014-06-30,637764.10263846,762678.6592329466,1041829.7593762329
2014-07-31,641883.58100056,768126.7769894857,1047483.3769371153
2014-08-31,641988.3607045601,768812.7766473643,1052188.4140122784
2014-09-30,649671.51985382,776822.7468638016,1058885.3078272298
2014-10-31,649525.5944495699,778409.962349118,1056703.292049191
2014-11-30,646438.13848146,775757.3903402807,1057864.631571532
2014-12-31,660583.7454143399,790615.6713995073,1086226.9870723402
2015-01-31,647427.1151672,778544.1059373105,1063843.0220635044
2015-02-28,645879.1140868501,777817.5621452453,1069346.566061589
2015-03-31,652005.32601023,784582.7924918929,1074169.020132936
2015-04-30,652440.0910534,785445.7262279817,1080486.479348104
2015-05-31,659097.5204974599,792274.6878342705,1082225.542869514
2015-06-30,669288.45015422,803355.4214670022,1110555.4420151573
2015-07-31,676752.4284534,811637.9462070704,1106884.2488900903
2015-08-31,681854.5696605099,817163.0543848705,1117013.5863359484
2015-09-30,685528.3829841199,821940.1234088386,1114225.347585423
2015-10-31,679849.36380062,817276.6500993596,1115839.0898464948
2015-11-30,682347.0401423799,820167.8422832515,1122085.1649820001
2015-12-31,707057.53671603,845456.9455834301,1148038.7558453907
2016-01-31,687254.9587189,826864.6007038238,1115285.4603792182
2016-02-29,698034.89291848,838238.484137792,1129975.6156603054
2016-03-31,702220.90828619,843271.6722093564,1133316.3259026778
2016-04-30,703055.98109199,844280.0925514941,1136641.672019044
2016-05-31,704245.1518605701,845537.0389660073,1139341.4272926766
2016-06-30,724183.6259784701,866102.9328500999,1165254.1267138696
2016-07-31,724789.8873115601,867428.4483804295,1161830.3447920422
2016-08-31,724848.35643032,868166.8085833024,1178563.3716064366
2016-09-30,730712.06255586,875346.2287702168,1180132.2005405705
2016-10-31,729554.79806804,874716.5939594789,1176752.4955237878
2016-11-30,730055.0132805699,875732.9764743925,1180930.012656411
2016-12-31,751883.25831434,898087.711579485,1202413.5747644112
2017-01-31,744801.10154139,891694.3483842987,1194051.4516890987
2017-02-28,746205.26681252,893577.3616050908,1191017.3938221578
2017-03-31,753162.54904504,900868.3231691149,1197263.2535293228
2017-04-30,754540.7593486201,902483.3243689868,1202151.4738454001
2017-05-31,751313.98386012,899447.1827770275,1203099.4854230992
2017-06-30,769449.58192729,918650.3683881826,1219838.9285475023
2017-07-31,769253.11340009,918923.5653101301,1223710.7836648456
2017-08-31,781585.2714591599,931990.4704116045,1237942.4069416616
2017-09-30,790944.35048593,942828.4517009184,1243757.051754368
2017-10-31,781901.00787884,934593.6008767125,1241848.7275299968
2017-11-30,785682.1986978201,938893.0906043658,1254813.9963730748
2017-12-31,811024.33655228,964903.6581697706,1269097.2767540722
2018-01-31,797187.77014035,951872.2846089995,1250042.7083776994
2018-02-28,799773.12196981,954806.888723823,1252850.0700507357
2018-03-31,811368.9496330901,966998.7916318933,1266413.9116993963
2018-04-30,807748.8324174801,963385.1379176992,1258526.7416817616
2018-05-31,810441.7140453,966476.2361121271,1267712.3573817024
2018-06-30,829517.1463558001,986335.5593555947,1276792.4586561066
2018-07-31,826563.27302413,983475.0624690852,1280063.1502680045
2018-08-31,834727.14606577,992376.5720016578,1292222.190808048
2018-09-30,838732.29996653,996911.0597002723,1288806.1382929669
2018-10-31,827728.9837951001,986440.0209343176,1299670.5100389498
2018-11-30,834723.19605453,993709.4950874841,1301462.440040466
2018-12-31,858696.8019255,1017887.5378409447,1320624.2691765777
2019-01-31,837977.01977717,998127.5394751317,1305911.2487432708
2019-02-28,839301.36670353,999715.2393900668,1309048.7851125668
2019-03-31,849615.54877966,1010491.2278513022,1314540.3560744114
2019-04-01,845477.19245254,1006665.4789967077,1310871.0187837444
2019-05-31,851554.4657810701,1013474.3926492896,1316719.294490819
2019-06-01,867641.1365838201,1030056.3964424304,1334584.795402178
2019-07-01,868330.12121101,1030859.6699758011,1339940.3206222542
2019-08-01,879790.33390027,1043542.4938298365,1349309.9251368665
2019-09-01,879604.76714952,1044135.8141519856,1342499.6485200943
2019-10-01,877871.3243274101,1043064.1400403862,1344019.1143516512
